Checking virtualization provider installation
OK: clab installed and working correctly
Stopping clab nodes
provider clab: executing flock -E 42 /tmp/netlab.lock sudo -E containerlab destroy --cleanup -t clab.yml
11:42:46 INFO Removed container name=clab-ml-17-H5-02
11:42:46 INFO Removed container name=clab-ml-17-H6-13
11:42:46 INFO Removed container name=clab-ml-17-H6-34
11:42:47 INFO Removed container name=clab-ml-17-H1-36
11:42:47 INFO Removed container name=clab-ml-17-H2-50
11:42:47 INFO Removed container name=clab-ml-17-H6-32
11:42:47 INFO Removed container name=clab-ml-17-H5-03
11:42:47 INFO Removed container name=clab-ml-17-H4-18
11:42:47 INFO Removed container name=clab-ml-17-H6-14
11:42:47 INFO Removed container name=clab-ml-17-H1-07
11:42:48 INFO Removed container name=clab-ml-17-H6-06
11:42:48 INFO Removed container name=clab-ml-17-H2-48
11:42:48 INFO Removed container name=clab-ml-17-H5-12
11:42:48 INFO Removed container name=clab-ml-17-H3-30
11:42:48 INFO Removed container name=clab-ml-17-H2-26
11:42:48 INFO Removed container name=clab-ml-17-H6-15
11:42:48 INFO Removed container name=clab-ml-17-H6-47
11:42:48 INFO Removed container name=clab-ml-17-H5-06
11:42:49 INFO Removed container name=clab-ml-17-L6
11:42:49 INFO Removed container name=clab-ml-17-H4-27
11:42:49 INFO Removed container name=clab-ml-17-H1-18
11:42:49 INFO Removed container name=clab-ml-17-H6-04
11:42:49 INFO Removed container name=clab-ml-17-H4-42
11:42:49 INFO Removed container name=clab-ml-17-H4-08
11:42:49 INFO Removed container name=clab-ml-17-H2-04
11:42:49 INFO Removed container name=clab-ml-17-H4-20
11:42:49 INFO Removed container name=clab-ml-17-H6-38
11:42:49 INFO Removed container name=clab-ml-17-H5-41
11:42:49 INFO Removed container name=clab-ml-17-H6-49
11:42:50 INFO Removed container name=clab-ml-17-H4-14
11:42:50 INFO Removed container name=clab-ml-17-H5-18
11:42:50 INFO Removed container name=clab-ml-17-S2
11:42:50 INFO Removed container name=clab-ml-17-H5-39
11:42:50 INFO Removed container name=clab-ml-17-H6-43
11:42:50 INFO Removed container name=clab-ml-17-H5-15
11:42:50 INFO Removed container name=clab-ml-17-H3-11
11:42:50 INFO Removed container name=clab-ml-17-H1-37
11:42:50 INFO Removed container name=clab-ml-17-H3-05
11:42:50 INFO Removed container name=clab-ml-17-H4-45
11:42:50 INFO Removed container name=clab-ml-17-H1-33
11:42:50 INFO Removed container name=clab-ml-17-H6-03
11:42:50 INFO Removed container name=clab-ml-17-H1-09
11:42:51 INFO Removed container name=clab-ml-17-H1-43
11:42:51 INFO Removed container name=clab-ml-17-H5-04
11:42:51 INFO Removed container name=clab-ml-17-H4-10
11:42:51 INFO Removed container name=clab-ml-17-H3-26
11:42:51 INFO Removed container name=clab-ml-17-H5-47
11:42:51 INFO Removed container name=clab-ml-17-H6-37
11:42:51 INFO Removed container name=clab-ml-17-H4-48
11:42:51 INFO Removed container name=clab-ml-17-H1-02
11:42:51 INFO Removed container name=clab-ml-17-H1-49
11:42:51 INFO Removed container name=clab-ml-17-H2-32
11:42:51 INFO Removed container name=clab-ml-17-H6-45
11:42:51 INFO Removed container name=clab-ml-17-H4-31
11:42:52 INFO Removed container name=clab-ml-17-H3-07
11:42:52 INFO Removed container name=clab-ml-17-H6-12
11:42:52 INFO Removed container name=clab-ml-17-H1-35
11:42:52 INFO Removed container name=clab-ml-17-H5-46
11:42:52 INFO Removed container name=clab-ml-17-H3-21
11:42:52 INFO Removed container name=clab-ml-17-H6-25
11:42:52 INFO Removed container name=clab-ml-17-H3-37
11:42:52 INFO Removed container name=clab-ml-17-H5-43
11:42:52 INFO Removed container name=clab-ml-17-H6-50
11:42:52 INFO Removed container name=clab-ml-17-H4-47
11:42:53 INFO Removed container name=clab-ml-17-H4-41
11:42:53 INFO Removed container name=clab-ml-17-H1-19
11:42:53 INFO Removed container name=clab-ml-17-H1-13
11:42:53 INFO Removed container name=clab-ml-17-H4-01
11:42:53 INFO Removed container name=clab-ml-17-H6-01
11:42:53 INFO Removed container name=clab-ml-17-L4
11:42:53 INFO Removed container name=clab-ml-17-H2-03
11:42:53 INFO Removed container name=clab-ml-17-H2-18
11:42:53 INFO Removed container name=clab-ml-17-H4-15
11:42:53 INFO Removed container name=clab-ml-17-H4-16
11:42:53 INFO Removed container name=clab-ml-17-H3-08
11:42:54 INFO Removed container name=clab-ml-17-H3-10
11:42:54 INFO Removed container name=clab-ml-17-L1
11:42:54 INFO Removed container name=clab-ml-17-H1-26
11:42:54 INFO Removed container name=clab-ml-17-H4-19
11:42:54 INFO Removed container name=clab-ml-17-H4-34
11:42:54 INFO Removed container name=clab-ml-17-H6-46
11:42:54 INFO Removed container name=clab-ml-17-H5-19
11:42:54 INFO Removed container name=clab-ml-17-H3-04
11:42:54 INFO Removed container name=clab-ml-17-H4-37
11:42:54 INFO Removed container name=clab-ml-17-H5-24
11:42:54 INFO Removed container name=clab-ml-17-H3-22
11:42:54 INFO Removed container name=clab-ml-17-H5-32
11:42:55 INFO Removed container name=clab-ml-17-H5-49
11:42:55 INFO Removed container name=clab-ml-17-H6-36
11:42:55 INFO Removed container name=clab-ml-17-H2-07
11:42:55 INFO Removed container name=clab-ml-17-H3-01
11:42:55 INFO Removed container name=clab-ml-17-H1-28
11:42:55 INFO Removed container name=clab-ml-17-H2-19
11:42:55 INFO Removed container name=clab-ml-17-H4-40
11:42:55 INFO Removed container name=clab-ml-17-H1-45
11:42:55 INFO Removed container name=clab-ml-17-H3-13
11:42:55 INFO Removed container name=clab-ml-17-H4-04
11:42:55 INFO Removed container name=clab-ml-17-H6-17
